Id,latin,Latitude,Longitude,lines,district,Closeness Centrality,Betweenness Centrality
民生路,Minsheng Road,31.238056,121.538611,Line6,Pudong,12.266666666666667,3164.0
源深体育中心,Yuanshen Stadium,31.235,121.529722,Line6,Pudong,11.3875,3375.0
外环路,Waihuan Road,31.122778,121.388056,Line1,Minhang,15.220833333333333,2519.0
莘庄,Xinzhuang,31.1131,121.381,Line1-Line5,Minhang,16.133333333333333,2300.0
桂林路,Guilin Road,31.1767,121.412,Line9,Xuhui,11.566666666666666,2519.0
漕河泾开发区,Caohejing Hi-Tech Park,31.1728,121.393,Line9,Xuhui,12.479166666666666,2300.0
友谊西路,West Youyi Road,31.3831,121.423,Line1,Baoshan,20.304166666666667,239.0
宝安公路,Bao'an Highway,31.3711,121.426,Line1,Baoshan,19.316666666666666,476.0
张江高科,Zhangjiang Hi-Tech Park,31.2031,121.581,Line2,Pudong,13.829166666666667,1043.0
殷高西路,West Yingao Road,31.3236,121.479,Line3,Baoshan,14.666666666666666,2079.0
江湾镇,Jiangwan Town,31.3072,121.481,Line3,Hongkou,13.745833333333334,2300.0
大柏树,Dabaishu,31.2911,121.479,Line3,Hongkou,12.833333333333334,2519.0
赤峰路,Chifeng Road,31.2828,121.478,Line3,Hongkou,11.929166666666667,2736.0
罗南新村,Luonan Xincun,31.3906,121.353,Line7,Baoshan,22.325,239.0
美兰湖,Meilan Lake,31.4036,121.345,Line7,Baoshan,23.320833333333333,0.0
四平路,Siping Road,31.2769,121.497,Line10-Line8,Hongkou,11.729166666666666,3498.0
邮电新村,Youdian Xincun,31.270278,121.489722,Line10,Hongkou,11.0125,2898.43014354067
张华浜,Zhanghuabang,31.3597,121.494,Line3,Baoshan,17.479166666666668,1404.0
淞发路,Songfa Road,31.344438,121.500249,Line3,Baoshan,16.533333333333335,1631.0
成山路,Chengshan Road,31.1722,121.491,Line8,Pudong,11.879166666666666,2202.0
杨思,Yangsi,31.1628,121.489,Line8,Pudong,12.7875,1984.0
上大路,Shangda Road,31.3153,121.404,Line7,Baoshan,16.525,1631.0
场中路,Changzhong Road,31.305,121.408333,Line7,Baoshan,15.5875,1856.0
上海体育场,Shanghai Stadium,31.1869,121.438,Line4,Xuhui,10.825,1379.698351648352
华夏东路,East Huaxia Road,31.1989,121.677,Line2,Pudong,18.6,12.5
川沙,Chuansha,31.1883,121.693,Line2,Pudong,17.645833333333332,127.0
云台路,Yuntai Road,31.1838,121.495,Line7,Pudong,11.7625,1516.8035714285697
北洋泾路,Beiyangjing Road,31.241111,121.5475,Line6,Pudong,13.154166666666667,2951.0
翔殷路,Xiangyin Road,31.3075,121.527,Line8,Yangpu,17.479166666666668,476.0
黄兴公园,Huangxing Park,31.2975,121.529,Line8,Yangpu,16.5,711.0
长江南路,South Changjiang Road,31.3333,121.486,Line3,Baoshan,15.595833333333333,1856.0
松江大学城,Songjiang University Town,31.056389,121.228611,Line9,Songjiang,21.066666666666666,239.0
洞泾,Dongjing,31.0869,121.226,Line9,Songjiang,20.079166666666666,476.0
上海火车站,Shanghai Railway Station,31.251667,121.452778,Line1-Line3-Line4,Zhabei,9.9,5603.831582452636
中潭路,Zhongtan Road,31.2564,121.436,Line3-Line4,Putuo,10.045833333333333,3707.899764270813
东安路,Dong'an Road,31.1925,121.45,Line4-Line7,Xuhui,10.25,2876.6197802197803
交通大学,Jiaotong University,31.203889,121.430278,Line10,Xuhui,10.366666666666667,1062.4792432713487
船厂路,Chuanchang Road,31.185,121.453,Line7,Xuhui,10.941666666666666,1008.7797619047623
华夏西路,West Huaxia Road,31.152778,121.513333,Line6,Pudong,15.0875,88.0
高青路,Gaoqing Road,31.158611,121.5125,Line6,Pudong,14.179166666666667,306.0
大木桥路,Damuqiao Road,31.1958,121.459,Line4,Xuhui,10.554166666666667,1540.7650183150172
中春路,Zhongchun Road,31.1503,121.331,Line9,Minhang,16.2125,1404.0
刘行,Liuhang,31.358889,121.357778,Line7,Baoshan,20.358333333333334,711.0
潘广路,Panguang Road,31.3653,121.351,Line7,Baoshan,21.3375,476.0
打浦桥,Dapuqiao,31.2075,121.463889,Line9,Luwan,10.3375,1121.980036630037
马当路,Madang Road,31.2114,121.472,Line9,Huangpu,10.2,1154.9800366300367
杨高南路,South Yanggao Road,31.19,121.518611,Line7,Pudong,13.191666666666666,663.0619047619047
外高桥保税区南,South Waigaoqiao Free Trade Zone,31.3236,121.598,Line6,Pudong,22.4875,711.0
杨高中路,Middle Yanggao Road,31.229722,121.544444,Line9,Pudong,11.5125,0.0
鲁班路,Luban Road,31.2014,121.471,Line4,Luwan,10.445833333333333,1544.2066849816847
虹桥1号航站楼,Hongqiao Airport Terminal 1,31.1933,121.342,Line10,Minhang,15.016666666666667,137.33333333333331
